ges_spec_names,TEFF,LOGG,FEH,LI1
gir_19264487+0139337_H665.0.fit,5053.0,2.85,-0.24,0.33
gir_19264495-0019528_H665.0.fit,4815.0,3.2,-0.19,0.66
gir_19264515+0152007_H665.0.fit,4282.0,2.28,0.08,0.18
gir_19264529+0213128_H665.0.fit,4424.0,2.4,0.29,0.26
gir_19264536+0146338_H665.0.fit,4807.0,2.54,-0.46,0.43
gir_19264555+0151031_H665.0.fit,4324.0,2.17,-0.19,0.43
gir_19264569-0034251_H665.0.fit,4802.0,3.2,-0.17,1.36
gir_19264596+0151417_H665.0.fit,4213.0,2.11,0.04,0.06
gir_19264613-0023036_H665.0.fit,4826.0,2.37,-0.58,1.02
gir_19264621+0059249_H665.0.fit,4919.0,3.44,-0.05,0.85
gir_19264654+0000539_H665.0.fit,4597.0,2.18,-0.28,0.31
gir_19264665+0056148_H665.0.fit,4461.0,2.19,0.06,0.1
gir_19264704+0058504_H665.0.fit,4720.0,2.48,-0.34,0.5
gir_19264714+0002128_H665.0.fit,4741.0,3.01,-0.02,0.69
gir_19264727+0045064_H665.0.fit,4820.0,3.0,0.17,1.34
gir_19264729+0157245_H665.0.fit,4546.0,2.83,-0.04,0.57
gir_19264878+0200578_H665.0.fit,4825.0,2.75,-0.02,0.67
gir_19264908-0000066_H665.0.fit,4761.0,2.8,-0.02,0.86
gir_19264917-0027469_H665.0.fit,4343.0,2.01,-0.37,3.25
gir_19264931+0027473_H665.0.fit,5041.0,3.27,-0.4,1.23
gir_19264967+0044577_H665.0.fit,4654.0,2.37,-0.25,0.41
gir_19264975+0116010_H665.0.fit,4574.0,2.51,-0.37,0.14
gir_19265013+0149070_H665.0.fit,4762.0,2.54,-0.36,3.7
gir_19265013+0151452_H665.0.fit,4454.0,2.09,-0.14,0.14
gir_19265022+0127347_H665.0.fit,4508.0,2.28,0.13,0.24
gir_19265044+0131143_H665.0.fit,4541.0,2.42,0.09,0.09
gir_19265055+0104297_H665.0.fit,4874.0,2.41,-0.52,0.63
gir_19265060+0211314_H665.0.fit,4460.0,2.37,0.14,0.06
gir_19265072+0117444_H665.0.fit,4614.0,2.67,-0.14,1.05
gir_19265099+0056486_H665.0.fit,4662.0,2.46,-0.39,0.76
gir_19265151+0028131_H665.0.fit,4626.0,2.55,0.19,0.35
gir_19265170+0004372_H665.0.fit,4838.0,2.36,-0.54,0.49
gir_19265187-0018295_H665.0.fit,4751.0,3.25,0.04,0.51
gir_19265305+0055069_H665.0.fit,4552.0,2.34,-0.18,0.09
gir_19265388-0000501_H665.0.fit,4607.0,2.31,-0.58,0.42
gir_19265389+0054430_H665.0.fit,4693.0,2.34,-0.68,0.67
gir_19265395+0011485_H665.0.fit,4515.0,2.31,0.02,0.26
gir_19265429+0032340_H665.0.fit,4862.0,3.42,-0.01,0.6
gir_19265490+0027173_H665.0.fit,4572.0,2.25,-0.18,0.13
gir_19265492+0123332_H665.0.fit,4488.0,2.52,0.24,0.51
gir_19265506-0036400_H665.0.fit,4609.0,3.08,0.4,0.51
gir_19265514+0159447_H665.0.fit,4457.0,2.28,-0.24,0.42
gir_19265584+0129370_H665.0.fit,4548.0,2.33,0.07,1.53
gir_19265602+0009017_H665.0.fit,4573.0,2.3,-0.25,0.35
gir_19265612+0002249_H665.0.fit,5083.0,4.54,0.41,1.15
gir_19265629+0004354_H665.0.fit,4831.0,3.33,-0.09,0.56
gir_19265640-0001545_H665.0.fit,4772.0,2.01,-1.06,0.55
gir_19265680+0138565_H665.0.fit,4434.0,2.12,0.1,0.14
gir_19265766+0034434_H665.0.fit,4941.0,3.06,-0.32,0.73
gir_19265778+0053070_H665.0.fit,4528.0,2.56,0.0,0.22
gir_19265791-0021061_H665.0.fit,5041.0,3.31,-0.52,0.65
gir_19265796+0121037_H665.0.fit,5712.0,4.59,-0.4,1.99
gir_19265838+0114278_H665.0.fit,5074.0,3.46,-0.63,0.95
gir_19265921+0041286_H665.0.fit,5270.0,3.89,-0.52,1.3
gir_19265937+0202069_H665.0.fit,4546.0,2.37,0.08,0.7
gir_19265971+0118280_H665.0.fit,4713.0,2.33,-0.42,0.95
gir_19265994+0140186_H665.0.fit,4390.0,2.35,0.34,0.04
gir_19270007+0145567_H665.0.fit,4500.0,2.27,0.02,0.06
gir_19270010+0017311_H665.0.fit,4686.0,2.06,-0.57,0.37
gir_19270047+0044344_H665.0.fit,4830.0,3.34,0.0,0.54
gir_19270109-0036075_H665.0.fit,4529.0,2.4,-0.25,0.19
gir_19270127+0037200_H665.0.fit,4712.0,3.02,0.01,0.09
gir_19270156+0017185_H665.0.fit,4857.0,3.55,0.13,0.56
gir_19270163+0054014_H665.0.fit,4823.0,3.22,-0.16,0.22
gir_19270172+0109116_H665.0.fit,5113.0,3.75,-0.08,0.71
gir_19270192+0150158_H665.0.fit,4232.0,2.34,0.29,0.23
gir_19270228+0158258_H665.0.fit,4614.0,2.58,-0.04,0.44
gir_19270267+0039459_H665.0.fit,4766.0,2.41,-0.47,0.35
gir_19270294+0046234_H665.0.fit,4982.0,3.79,0.35,1.04
gir_19270305-0020280_H665.0.fit,4631.0,2.61,-0.46,0.44
gir_19270334-0007524_H665.0.fit,4933.0,3.28,-0.41,0.77
gir_19270369+0054236_H665.0.fit,4652.0,2.25,-0.39,0.1
gir_19270428+0106349_H665.0.fit,4651.0,2.52,-0.56,0.36
gir_19270452+0038043_H665.0.fit,4586.0,2.6,-0.18,0.18
gir_19270502-0027165_H665.0.fit,4960.0,3.41,-0.33,1.14
gir_19270503+0040016_H665.0.fit,4642.0,2.69,-0.13,0.31
gir_19270510+0047032_H665.0.fit,4889.0,2.73,-0.59,0.75
gir_19270511+0055271_H665.0.fit,5245.0,4.61,-0.24,0.85
gir_19270520-0011207_H665.0.fit,4695.0,2.31,-0.4,0.24
gir_19270528+0145340_H665.0.fit,4466.0,2.49,0.14,0.26
gir_19270571+0014105_H665.0.fit,4301.0,2.3,-0.02,0.44
gir_19270748-0031399_H665.0.fit,4833.0,4.65,-0.49,0.36
gir_19270750+0144040_H665.0.fit,4441.0,2.54,0.24,0.43
gir_19270797-0019098_H665.0.fit,4338.0,1.82,-0.71,0.1
gir_19270815+0017461_H665.0.fit,4416.0,2.19,-0.25,2.1
gir_19270841-0011553_H665.0.fit,4507.0,2.34,-0.04,0.17
gir_19270893+0055373_H665.0.fit,4660.0,2.7,-0.24,0.4
gir_19270941+0044034_H665.0.fit,4746.0,2.97,-0.17,0.13
gir_19270942+0106199_H665.0.fit,4495.0,2.1,-0.52,0.28
gir_19270979-0030490_H665.0.fit,4935.0,3.21,-0.54,0.81
gir_19271007-0027181_H665.0.fit,4474.0,2.4,0.13,0.32
gir_19271053+0035583_H665.0.fit,4711.0,2.9,-0.15,0.29
gir_19271142+0026338_H665.0.fit,4698.0,2.94,-0.19,0.52
gir_19271160-0025477_H665.0.fit,4578.0,2.77,-0.14,0.25
gir_19271228-0033476_H665.0.fit,4568.0,2.74,0.04,0.13
gir_19271231+0002587_H665.0.fit,4793.0,3.18,-0.25,0.99
gir_19271254+0053149_H665.0.fit,4984.0,3.75,-0.05,1.05
gir_19271266+0025364_H665.0.fit,4314.0,2.0,-0.33,0.06
gir_19271283+0009479_H665.0.fit,4501.0,2.31,0.04,0.15
gir_19271351+0133346_H665.0.fit,4627.0,3.1,0.28,0.28
gir_19271385+0102588_H665.0.fit,4358.0,2.45,0.24,0.29
gir_19271436+0018322_H665.0.fit,4543.0,2.61,-0.02,0.05
gir_19271438-0030197_H665.0.fit,4668.0,1.71,-0.53,0.37
gir_19271474+0147068_H665.0.fit,4576.0,2.05,-0.33,0.35
gir_19271482+0022150_H665.0.fit,4654.0,2.27,-0.31,0.2
gir_19271504+0111239_H665.0.fit,4668.0,2.68,-0.11,0.61
gir_19271522+0009303_H665.0.fit,4362.0,2.34,0.36,0.25
gir_19271602+0059367_H665.0.fit,4940.0,2.25,-0.78,0.54
gir_19271602+0158459_H665.0.fit,4550.0,2.46,-0.17,0.72
gir_19271619+0018379_H665.0.fit,4573.0,2.49,-0.28,0.38
gir_19271645+0114272_H665.0.fit,5430.0,4.54,-0.14,1.03
gir_19271685+0144244_H665.0.fit,4640.0,2.37,-0.13,0.28
gir_19271712-0017393_H665.0.fit,4891.0,1.96,-1.63,0.99
gir_19271717-0028068_H665.0.fit,4595.0,2.22,-0.2,0.02
gir_19271749+0011392_H665.0.fit,4495.0,2.27,0.04,0.06
gir_19271761-0003053_H665.0.fit,4965.0,3.36,-0.13,1.02
gir_19271798+0017337_H665.0.fit,4386.0,2.19,0.24,0.26
gir_19271840-0026075_H665.0.fit,4624.0,2.53,0.16,0.09
gir_19271905-0025132_H665.0.fit,4421.0,2.28,0.2,0.03
gir_19271961+0122407_H665.0.fit,4488.0,2.22,0.1,0.42
gir_19271992-0034521_H665.0.fit,4503.0,2.86,0.38,0.24
gir_19271996-0017540_H665.0.fit,4791.0,2.96,-0.27,0.51
gir_19271998+0045149_H665.0.fit,4467.0,2.38,0.14,0.12
gir_19272046-0001502_H665.0.fit,4676.0,2.9,-0.1,0.2
gir_19272112-0018398_H665.0.fit,4810.0,3.46,0.14,0.36
gir_19272117+0004404_H665.0.fit,4881.0,3.3,-0.23,0.85
gir_19272132+0106208_H665.0.fit,4649.0,2.22,-0.73,0.31
gir_19272151+0137489_H665.0.fit,4484.0,2.31,0.04,0.09
gir_19272223-0030544_H665.0.fit,4492.0,2.5,0.06,0.22
gir_19272225-0030047_H665.0.fit,4530.0,2.39,-0.33,0.46
gir_19272279-0005358_H665.0.fit,4435.0,2.4,0.24,0.23
gir_19272345+0106588_H665.0.fit,4685.0,2.66,-0.33,0.95
gir_19272345+0119406_H665.0.fit,4404.0,2.71,0.38,0.19
gir_19272384+0049213_H665.0.fit,4633.0,2.23,-0.28,0.62
gir_19272396+0148232_H665.0.fit,5385.0,4.48,0.16,1.01
gir_19272451+0046343_H665.0.fit,4998.0,3.55,-0.13,0.34
gir_19272485+0123372_H665.0.fit,4379.0,2.28,0.26,0.45
gir_19272518+0019036_H665.0.fit,5289.0,3.92,-0.24,1.42
gir_19272655+0146433_H665.0.fit,4646.0,2.7,-0.14,0.41
gir_19272668+0105465_H665.0.fit,4740.0,2.44,-0.42,0.3
gir_19272677+0047333_H665.0.fit,4860.0,3.45,-0.37,0.66
gir_19272700+0130004_H665.0.fit,4436.0,2.66,0.2,0.1
gir_19272709-0013346_H665.0.fit,4511.0,2.69,0.18,0.55
gir_19272779-0004263_H665.0.fit,4493.0,2.37,0.15,0.46
gir_19272784+0100075_H665.0.fit,4372.0,2.3,0.3,0.24
gir_19272806-0021315_H665.0.fit,4728.0,2.65,-0.59,0.53
gir_19272820+0101455_H665.0.fit,4859.0,3.28,-0.22,0.68
gir_19272833+0106547_H665.0.fit,5042.0,3.3,-0.09,0.66
gir_19272852+0024309_H665.0.fit,4501.0,2.23,0.02,0.23
gir_19272870+0016293_H665.0.fit,4429.0,2.34,0.22,0.22
gir_19272939-0020320_H665.0.fit,4896.0,2.96,-0.56,0.44
gir_19272942-0027512_H665.0.fit,4180.0,2.09,0.36,0.21
gir_19272976+0030567_H665.0.fit,4655.0,2.35,-0.29,0.28
gir_19272978-0006164_H665.0.fit,4539.0,2.36,-0.02,0.06
gir_19272986-0013130_H665.0.fit,4565.0,2.22,-0.22,0.08
gir_19273003+0137440_H665.0.fit,4693.0,2.76,-0.13,0.29
gir_19273017+0005461_H665.0.fit,4608.0,2.3,-0.32,0.01
gir_19273070-0022392_H665.0.fit,4550.0,2.35,-0.38,0.69
gir_19273118+0010453_H665.0.fit,4685.0,3.22,0.32,0.92
gir_19273147+0119058_H665.0.fit,4545.0,2.31,-0.14,0.46
gir_19273197-0014257_H665.0.fit,4805.0,2.43,-0.55,0.56
gir_19273241+0124294_H665.0.fit,4464.0,2.2,0.03,0.16
gir_19273244+0103121_H665.0.fit,4532.0,2.49,-0.19,0.08
gir_19273290-0015315_H665.0.fit,4551.0,2.23,-0.26,0.22
gir_19273326+0102059_H665.0.fit,5175.0,3.84,0.01,0.84
gir_19273381-0021320_H665.0.fit,4483.0,2.81,-0.1,0.24
gir_19273396+0019273_H665.0.fit,4752.0,3.26,0.15,0.46
gir_19273401+0110362_H665.0.fit,4310.0,1.95,-0.44,0.07
gir_19273411-0018140_H665.0.fit,4369.0,1.96,0.22,1.19
gir_19273452+0110130_H665.0.fit,4569.0,2.94,0.26,0.28
gir_19273458-0010197_H665.0.fit,4448.0,2.62,0.2,0.02
gir_19273508+0139211_H665.0.fit,4664.0,2.31,-0.44,0.43
gir_19273526+0106448_H665.0.fit,4751.0,2.37,-0.4,0.07
gir_19273555+0016329_H665.0.fit,5321.0,4.41,0.24,1.16
gir_19273595+0142200_H665.0.fit,4546.0,2.65,0.02,0.11
gir_19273639+0119417_H665.0.fit,4918.0,2.91,-0.41,0.91
gir_19273707+0011428_H665.0.fit,4554.0,2.62,0.03,0.35
gir_19273714-0010368_H665.0.fit,4571.0,2.31,-0.29,0.36
gir_19273735-0014325_H665.0.fit,4612.0,2.39,-0.28,0.08
gir_19273778+0035376_H665.0.fit,4299.0,2.18,0.03,0.06
gir_19273822+0102077_H665.0.fit,4507.0,2.3,0.11,0.27
gir_19273836-0012418_H665.0.fit,4766.0,2.28,-0.49,0.57
gir_19273856+0024149_H665.0.fit,4328.0,2.26,-0.24,2.15
gir_19273910-0019541_H665.0.fit,4680.0,2.2,-0.45,0.1
gir_19273924-0006156_H665.0.fit,4903.0,2.3,-1.19,0.66
gir_19273948-0025364_H665.0.fit,4485.0,1.8,-0.9,0.37
gir_19273963-0029194_H665.0.fit,4565.0,2.54,-0.1,0.07
gir_19273977-0009385_H665.0.fit,4828.0,3.59,0.1,0.76
gir_19273985+0146448_H665.0.fit,4554.0,2.75,0.24,0.33
gir_19274041-0025121_H665.0.fit,4648.0,2.86,-0.09,0.43
gir_19274050-0001467_H665.0.fit,4597.0,3.07,0.3,0.05
gir_19274107+0008129_H665.0.fit,4486.0,2.54,0.15,0.64
gir_19274113+0005320_H665.0.fit,4502.0,2.64,0.14,0.21
gir_19274119+0046540_H665.0.fit,4575.0,2.87,0.22,0.21
gir_19274168+0003112_H665.0.fit,4408.0,2.41,0.3,0.03
gir_19274181-0006220_H665.0.fit,5022.0,3.52,-0.14,0.62
gir_19274272+0014456_H665.0.fit,4713.0,2.24,-0.49,0.52
gir_19274282+0136314_H665.0.fit,4455.0,2.48,0.11,0.48
gir_19274302+0043289_H665.0.fit,4540.0,2.37,-0.02,0.32
gir_19274334+0144277_H665.0.fit,4489.0,1.66,-0.99,0.23
gir_19274436+0141142_H665.0.fit,4395.0,2.02,-0.43,0.28
gir_19274492+0145549_H665.0.fit,4413.0,2.47,0.26,0.25
gir_19274493+0029445_H665.0.fit,4656.0,4.7,-0.02,0.29
gir_19274548-0022242_H665.0.fit,4473.0,1.78,-0.35,0.06
gir_19274553+0109415_H665.0.fit,4760.0,3.44,0.31,0.74
gir_19274596+0019014_H665.0.fit,4589.0,2.37,-0.08,0.17
gir_19274603+0031082_H665.0.fit,4750.0,2.53,-0.67,0.61
gir_19274682-0015188_H665.0.fit,4662.0,2.4,-0.46,0.48
gir_19274686+0146542_H665.0.fit,4500.0,2.35,0.06,0.76
gir_19274706+0023447_H665.0.fit,4652.0,3.05,-0.17,3.1
gir_19274822-0009379_H665.0.fit,4467.0,2.38,0.14,0.13
gir_19274874+0141158_H665.0.fit,4574.0,2.97,0.36,0.32
gir_19274879-0024110_H665.0.fit,4911.0,1.66,-1.31,0.94
gir_19274943-0013253_H665.0.fit,4602.0,2.12,0.08,0.97
gir_19274956-0017192_H665.0.fit,4920.0,2.65,-0.83,0.8
gir_19274959+0043140_H665.0.fit,4496.0,2.35,0.06,0.48
gir_19274977+0119387_H665.0.fit,4529.0,2.22,-0.23,0.09
gir_19274989+0102084_H665.0.fit,4526.0,2.83,0.17,0.37
gir_19274998+0022227_H665.0.fit,4544.0,2.8,0.05,0.7
gir_19275015+0100467_H665.0.fit,5879.0,4.5,0.19,1.67
gir_19275046+0102334_H665.0.fit,4586.0,2.04,-0.8,0.03
gir_19275047+0114007_H665.0.fit,4961.0,3.2,-0.24,0.79
gir_19275100+0011181_H665.0.fit,4436.0,2.34,0.2,0.45
gir_19275155-0022083_H665.0.fit,4796.0,3.41,0.1,0.69
gir_19275171+0124516_H665.0.fit,4859.0,2.34,-0.56,0.51
gir_19275236+0007105_H665.0.fit,4416.0,1.9,-0.6,0.12
gir_19275253-0022281_H665.0.fit,4522.0,2.33,-0.01,0.4
gir_19275256-0010564_H665.0.fit,5064.0,4.57,-0.47,0.87
gir_19275265+0020472_H665.0.fit,4430.0,2.31,-0.27,0.03
gir_19275311-0009157_H665.0.fit,4490.0,2.33,0.01,0.5
gir_19275318+0050596_H665.0.fit,4313.0,2.11,0.19,0.22
gir_19275328+0116599_H665.0.fit,4406.0,2.05,-0.18,0.07
gir_19275346+0129535_H665.0.fit,4747.0,3.43,0.16,0.12
gir_19275392+0116256_H665.0.fit,4451.0,2.38,0.15,0.18
gir_19275421+0126447_H665.0.fit,4819.0,3.33,0.0,0.74
gir_19275437-0022409_H665.0.fit,4920.0,3.92,0.4,0.96
gir_19275451+0041259_H665.0.fit,4689.0,4.72,-0.11,0.09
gir_19275470-0028327_H665.0.fit,4525.0,2.87,0.19,0.04
gir_19275522+0018211_H665.0.fit,4546.0,2.64,-0.21,0.21
gir_19275522+0114101_H665.0.fit,5014.0,4.7,0.02,1.32
gir_19275574+0115027_H665.0.fit,4818.0,2.99,-0.36,0.59
gir_19275633-0012197_H665.0.fit,4735.0,3.19,0.01,0.47
gir_19275640-0010510_H665.0.fit,4661.0,3.11,0.31,0.53
gir_19275649-0008103_H665.0.fit,4561.0,2.89,0.25,0.24
gir_19275678+0002585_H665.0.fit,5072.0,2.87,-0.42,1.06
gir_19275687+0129037_H665.0.fit,4474.0,2.36,0.29,0.33
gir_19275717+0125143_H665.0.fit,4171.0,2.01,-0.06,0.04
gir_19275778-0019298_H665.0.fit,4665.0,4.58,-0.13,0.38
gir_19275809+0132510_H665.0.fit,4643.0,2.82,0.02,0.12
gir_19275827+0102378_H665.0.fit,4791.0,3.56,0.43,0.49
gir_19275888+0014211_H665.0.fit,4572.0,2.31,-0.12,0.26
gir_19275998+0015260_H665.0.fit,4931.0,3.23,-0.18,0.27
gir_19280037-0015552_H665.0.fit,4691.0,3.27,0.33,0.12
gir_19280137+0016189_H665.0.fit,4881.0,2.75,-0.61,0.46
gir_19280206-0023318_H665.0.fit,4843.0,3.33,-0.04,0.52
gir_19280305+0105268_H665.0.fit,4422.0,2.07,0.2,1.74
gir_19280327+0022571_H665.0.fit,4856.0,3.11,-0.08,0.72
gir_19280421+0005157_H665.0.fit,4914.0,3.18,-0.45,0.76
gir_19280507+0117269_H665.0.fit,4661.0,2.36,-0.69,0.3
gir_19280508+0100139_H665.0.fit,4528.0,2.46,0.03,3.5
gir_19280534-0021253_H665.0.fit,4498.0,2.3,0.05,3.61
gir_19280781+0115310_H665.0.fit,4702.0,3.0,-0.13,0.41
gir_19280829-0024200_H665.0.fit,4860.0,2.37,-0.5,0.8
gir_19280886-0010276_H665.0.fit,4680.0,4.68,-0.12,0.19
gir_19280929-0004398_H665.0.fit,4593.0,2.22,-0.04,0.8
gir_19280932+0040142_H665.0.fit,4861.0,3.57,0.2,0.46
gir_19280964+0118564_H665.0.fit,4469.0,2.43,0.25,0.22
gir_19280984+0116316_H665.0.fit,4458.0,2.44,0.14,0.08
gir_19280993+0102125_H665.0.fit,4654.0,2.7,-0.41,0.27
gir_19280994-0006107_H665.0.fit,4708.0,3.13,-0.53,0.51
gir_19281022+0117297_H665.0.fit,4965.0,3.31,-0.57,0.04
gir_19281038+0037100_H665.0.fit,4423.0,2.2,0.1,1.14
gir_19281108+0102238_H665.0.fit,4270.0,1.99,-0.09,0.19
gir_19281177-0012297_H665.0.fit,4344.0,2.23,0.26,0.2
gir_19281199+0051082_H665.0.fit,4528.0,2.59,0.05,0.05
gir_19281212-0018296_H665.0.fit,4488.0,2.32,-0.04,0.57
gir_19281250+0048177_H665.0.fit,4265.0,1.79,-0.06,0.15
gir_19281309+0008191_H665.0.fit,4809.0,2.79,-0.61,0.54
gir_19281365+0015179_H665.0.fit,4863.0,2.7,-0.3,0.5
gir_19281398+0104369_H665.0.fit,4603.0,2.25,-0.24,0.93
gir_19281440+0008524_H665.0.fit,4857.0,3.02,-0.27,0.81
gir_19281450-0022324_H665.0.fit,4532.0,2.53,-0.11,0.31
gir_19281492+0037114_H665.0.fit,4715.0,2.76,-0.2,0.06
gir_19281537+0120376_H665.0.fit,4450.0,2.36,0.25,0.21
gir_19281538-0001129_H665.0.fit,4549.0,2.35,-0.08,0.11
gir_19281684+0054365_H665.0.fit,4412.0,2.42,0.03,0.07
gir_19281688+0034318_H665.0.fit,5034.0,3.74,-0.09,1.27
gir_19281748+0118598_H665.0.fit,4366.0,2.56,0.3,0.16
gir_19281857-0014201_H665.0.fit,4524.0,2.36,0.02,0.02
gir_19281956+0015219_H665.0.fit,4620.0,2.39,-0.16,0.19
gir_19281994+0102297_H665.0.fit,4193.0,2.27,0.25,0.16
gir_19282026+0002104_H665.0.fit,4289.0,1.63,-0.53,0.03
gir_19282137+0040277_H665.0.fit,4501.0,2.06,-0.6,0.11
gir_19282201-0021405_H665.0.fit,4299.0,2.21,0.08,0.02
gir_19282219-0013055_H665.0.fit,4603.0,3.09,0.29,0.03
gir_19282248-0022219_H665.0.fit,4902.0,4.62,-0.19,0.89
gir_19282282-0008198_H665.0.fit,4821.0,2.93,-0.02,0.48
gir_19282358+0014375_H665.0.fit,4808.0,2.43,-0.23,0.42
gir_19282380+0035438_H665.0.fit,4451.0,2.62,0.29,0.26
gir_19282396-0001569_H665.0.fit,4790.0,3.03,-0.24,0.47
gir_19282405+0015425_H665.0.fit,4507.0,2.22,-0.33,0.65
gir_19282450+0035084_H665.0.fit,4812.0,3.29,0.02,0.37
gir_19282457+0121251_H665.0.fit,4500.0,2.21,0.0,0.2
gir_19282609+0018378_H665.0.fit,4482.0,2.36,0.26,0.03
gir_19282660+0114593_H665.0.fit,4593.0,3.07,0.3,0.21
gir_19282703+0053348_H665.0.fit,4444.0,2.32,0.19,0.23
gir_19282746-0009047_H665.0.fit,4758.0,2.49,-0.46,0.35
gir_19282821+0114400_H665.0.fit,4619.0,2.4,0.02,0.07
gir_19282852+0000086_H665.0.fit,4944.0,2.76,-0.02,0.44
gir_19282884+0111591_H665.0.fit,4403.0,2.53,0.24,0.15
gir_19282887+0114216_H665.0.fit,4615.0,3.3,0.41,0.33
gir_19283054-0012080_H665.0.fit,4649.0,2.03,-0.91,0.05
gir_19283072+0003507_H665.0.fit,4674.0,2.54,-0.49,0.34
gir_19283084+0110048_H665.0.fit,5109.0,3.73,-0.23,1.44
gir_19283153+0000549_H665.0.fit,4780.0,2.62,-0.14,0.26
gir_19283166+0017519_H665.0.fit,4672.0,2.45,-0.01,0.83
gir_19283192+0019034_H665.0.fit,4749.0,2.65,-0.32,0.54
gir_19283214+0118267_H665.0.fit,4812.0,2.56,-0.48,0.62
gir_19283226+0033072_H665.0.fit,4461.0,2.44,0.15,3.63
gir_19283227+0120186_H665.0.fit,5104.0,2.44,-0.83,1.04
gir_19283248-0020019_H665.0.fit,4576.0,2.55,0.12,0.6
gir_19283256+0110394_H665.0.fit,5869.0,4.44,0.24,2.28
gir_19283326+0008279_H665.0.fit,5035.0,3.18,-0.47,1.18
gir_19283465+0106216_H665.0.fit,4558.0,2.79,0.2,0.24
gir_19283651+0033111_H665.0.fit,4559.0,2.29,-0.15,0.23
gir_19283673+0002564_H665.0.fit,5056.0,3.32,-0.61,1.21
gir_19283732+0021336_H665.0.fit,4581.0,4.53,-0.07,0.59
gir_19283955+0026314_H665.0.fit,4422.0,2.61,0.24,0.31
gir_19284114+0108217_H665.0.fit,5026.0,3.79,0.27,1.43
gir_19284135+0105345_H665.0.fit,4648.0,1.9,-0.63,0.55
gir_19284146+0002592_H665.0.fit,4494.0,2.3,0.05,0.24
gir_19284151+0007324_H665.0.fit,4552.0,2.3,-0.19,0.04
gir_19284164+0104409_H665.0.fit,4518.0,2.31,-0.09,0.46
gir_19284206+0011558_H665.0.fit,5018.0,3.43,-0.08,1.14
gir_19284506+0009198_H665.0.fit,4495.0,2.02,-0.3,0.33
gir_19284557-0019499_H665.0.fit,4724.0,3.01,0.06,0.69
gir_19284710+0028254_H665.0.fit,4526.0,2.25,-0.17,0.51
gir_19284717+0032571_H665.0.fit,4456.0,2.23,0.06,1.53
gir_19284797+0112325_H665.0.fit,5011.0,3.82,0.06,1.22
gir_19284884+0032326_H665.0.fit,4646.0,2.3,-0.19,0.18
gir_19284885+0028034_H665.0.fit,4523.0,2.31,0.09,0.51
gir_19284933+0023245_H665.0.fit,4523.0,2.25,0.02,0.19
gir_19284986+0022246_H665.0.fit,4643.0,2.4,-0.1,0.55
gir_19285007+0107015_H665.0.fit,5173.0,3.76,-0.11,1.03
gir_19285167+0016093_H665.0.fit,4961.0,3.19,-0.03,0.5
gir_19285339+0030103_H665.0.fit,4572.0,2.38,-0.22,0.04
gir_19285340+0026135_H665.0.fit,4621.0,2.47,-0.29,0.32
gir_19285357+0106513_H665.0.fit,4684.0,2.89,-0.06,0.23
gir_19285488+0016421_H665.0.fit,5043.0,3.5,-0.01,0.84
gir_19285491+0028515_H665.0.fit,4952.0,3.11,-0.49,0.78
gir_19285497+0026135_H665.0.fit,4443.0,2.3,0.19,0.5
gir_19285621+0008244_H665.0.fit,5085.0,3.54,-0.11,1.33
gir_19285781+0031443_H665.0.fit,4443.0,2.02,-0.33,0.1
gir_19285859+0021495_H665.0.fit,4363.0,1.98,-0.35,0.01
gir_19285980+0013179_H665.0.fit,4951.0,3.05,-0.48,0.74
gir_19290001+0009417_H665.0.fit,4988.0,3.24,-0.02,1.32
gir_19290580+0009001_H665.0.fit,4957.0,2.81,-0.1,0.04
gir_19291010+0035533_H665.0.fit,4444.0,2.0,-0.31,0.28
gir_19291089+0027091_H665.0.fit,4782.0,2.63,-0.24,0.91
gir_19291175+0012320_H665.0.fit,4337.0,1.91,-0.34,0.09
gir_19291261+0028155_H665.0.fit,4855.0,2.52,-0.26,0.68
gir_19291371+0009265_H665.0.fit,4476.0,2.38,0.11,0.41
gir_19291386+0033292_H665.0.fit,4595.0,2.33,-0.09,0.12
gir_19291391+0007186_H665.0.fit,5011.0,3.05,-0.72,1.28
gir_19291865+0033467_H665.0.fit,4381.0,2.15,-0.25,0.29
gir_19291877+0009337_H665.0.fit,4832.0,2.39,-0.43,0.63
gir_19292152+0013500_H665.0.fit,5577.0,4.56,0.06,1.74
gir_19292314+0030143_H665.0.fit,4494.0,2.34,0.14,0.51
gir_19292618+0018477_H665.0.fit,5147.0,3.31,-0.57,0.77
gir_19292638+0029265_H665.0.fit,4258.0,1.98,0.15,0.15
gir_19292731+0033442_H665.0.fit,4407.0,2.19,0.16,0.97
gir_19292819+0017126_H665.0.fit,4669.0,2.49,-0.32,0.68
gir_19292865+0037483_H665.0.fit,4869.0,2.79,-0.16,0.63
gir_19292902+0031456_H665.0.fit,4664.0,2.42,-0.33,0.66
gir_19293178+0036184_H665.0.fit,4935.0,3.09,-0.17,0.7
gir_19293189+0023400_H665.0.fit,4837.0,2.73,0.05,1.14
gir_19293728+0038442_H665.0.fit,4529.0,2.13,-0.5,2.72
gir_19293743+0030532_H665.0.fit,4608.0,2.31,-0.05,0.11
gir_19293874+0034173_H665.0.fit,4468.0,2.41,0.24,0.53
gir_19294012+0038218_H665.0.fit,5253.0,4.47,0.11,3.24
gir_19294100+0004483_H665.0.fit,4418.0,2.36,0.24,0.33
